iter	Passed	Remaining
0	17	16780
1	31	15138
2	46	15108
3	61	14879
4	77	14863
5	91	14683
6	105	14539
7	120	14491
8	135	14485
9	149	14336
10	164	14308
11	179	14282
12	194	14306
13	208	14193
14	224	14280
15	242	14439
16	259	14530
17	275	14555
18	291	14561
19	307	14582
20	324	14632
21	340	14658
22	357	14690
23	374	14724
24	390	14734
25	406	14741
26	424	14779
27	440	14796
28	456	14779
29	473	14813
30	489	14805
31	508	14861
32	526	14923
33	546	15001
34	564	15053
35	583	15114
36	602	15162
37	620	15188
38	640	15254
39	657	15243
40	675	15265
41	693	15298
42	711	15309
43	728	15305
44	746	15320
45	763	15305
46	782	15334
47	801	15361
48	818	15359
49	838	15388
50	857	15421
51	874	15397
52	890	15368
53	908	15372
54	928	15405
55	945	15391
56	964	15415
57	981	15400
58	998	15378
59	1018	15407
60	1037	15432
61	1058	15467
62	1076	15461
63	1095	15475
64	1115	15494
65	1132	15480
66	1148	15447
67	1167	15454
68	1184	15435
69	1203	15435
70	1222	15443
71	1240	15432
72	1254	15375
73	1272	15376
74	1289	15354
75	1307	15342
76	1324	15325
77	1342	15312
78	1360	15305
79	1379	15309
80	1400	15339
81	1422	15370
82	1445	15414
83	1469	15460
84	1488	15466
85	1512	15513
86	1534	15534
87	1557	15574
88	1577	15583
89	1600	15609
90	1623	15648
91	1644	15654
92	1662	15645
93	1709	15894
94	1747	16061
95	1778	16150
96	1805	16210
97	1825	16208
98	1845	16202
99	1866	16201
100	1887	16199
101	1908	16203
102	1929	16207
103	1952	16223
104	1973	16224
105	1994	16221
106	2016	16222
107	2034	16201
108	2056	16205
109	2070	16152
110	2091	16145
111	2113	16156
112	2135	16154
113	2149	16106
114	2169	16091
115	2191	16092
116	2211	16083
117	2231	16073
118	2250	16052
119	2264	15998
120	2285	15996
121	2305	15987
122	2330	16009
123	2372	16150
124	2392	16134
125	2406	16081
126	2422	16040
127	2442	16027
128	2463	16020
129	2483	16007
130	2503	15992
131	2519	15959
132	2540	15951
133	2561	15944
134	2583	15940
135	2605	15938
136	2620	15896
137	2645	15910
138	2691	16051
139	2720	16089
140	2739	16065
141	2757	16037
142	2778	16028
143	2803	16041
144	2823	16026
145	2838	15979
146	2856	15956
147	2876	15936
148	2897	15928
149	2918	15913
150	2938	15899
151	2956	15871
152	2976	15855
153	2997	15843
154	3011	15797
155	3031	15778
156	3051	15763
157	3073	15755
158	3094	15746
159	3114	15730
160	3134	15713
161	3154	15696
162	3174	15676
